"Worldbirds Location","Worldbirds Location ID","Worldbirds Latitude","Worldbirds Longitude","Worldbirds Region/State","eBird Location","eBird Region Code","eBird Country Code","eBird Latitude","eBird Longitude"
"Boca do Rio, Budens, Vila do Bispo",2056,"37.067666666667","-8.8091666666667",,"PN Sudoeste Alentejano e Costa Vicentina--Boca do Rio","PT-08","PT","37.0757486","-8.8012798"
"Braga- Bom Jesus",27394,39.7071666667,-7.8881666667,,,,"PT",,
"CA59_Y",2211,32.5014,-16.5009,,,,"PT",,
"CA59_Z",2212,32.5195,-16.5012,,,,"PT",,
"CA68_D",2213,32.4115,-16.4782,,,,"PT",,
"Cabeço Alto, Rosmaninhal",27374,39.7326666667,-7.0415,,,,"PT",,
"Cabo Carvoeiro",27485,39.3598333333,-9.4086666667,,,,"PT",,
"Cabo da Roca",1600,"38.780057","-9.498861","Portugal (mainland)","PN Sintra-Cascais--Cabo da Roca","PT-11","PT","38.7804505","-9.4989467"
"Cabo de São Vicente - Sagres",27483,"37.023666666667","-8.9956666666667","Portugal (mainland)","PN Sudoeste Alentejano e Costa Vicentina--Cabo de São Vicente","PT-08","PT","37.0234432","-8.9956972"
"Cabo Espichel",143,"38.4135","-9.2201666666667","Portugal (mainland)","PN Arrábida--IBA Cabo Espichel","PT-15","PT","38.414005","-9.217701"
"Cabo Espichel IBA",15,"38.41666667","-9.183333333","Portugal (mainland)","PN Arrábida--IBA Cabo Espichel","PT-15","PT","38.414005","-9.217701"
"Cabo Raso",142,"38.708666666667","-9.4853333333333","Portugal (mainland)","PN Sintra-Cascais--Cabo Raso","PT-11","PT","38.7094577","-9.485836"
"Cabo Sardão",2110,"37.6065","-8.8171666666667","Portugal (mainland)","PN Costa Vicentina e Sudoeste Alentejano--Cabo Sardão","PT-02","PT","37.5975486","-8.8165958"
"Caféde, Castelo Branco",1794,39.926983,-7.510872,,,,"PT",,
"Cais do Areão",27306,40.5115,-8.7771666667,,,,"PT",,
"Caldeirão do Corvo",217,39.7103333333,-31.1083333333,,,,"PT",,
"Calhariz",27433,"38.4633","-9.056","Portugal (mainland)","PN Arrábida--Calhariz","PT-15","PT","38.4633","-9.056"
"Cambarinho (parque botânico)",27464,40.6803333333,-8.2066666667,,,,"PT",,
"Caminho agricola com montado",27339,39.7071666667,-7.8881666667,,,,"PT",,
"Caminho agricola proximo da estrada nacional 3",27338,39.7071666667,-7.8881666667,,,,"PT",,
"Campo de Golfe de Rilhadas - Fafe",27223,41.4265,-8.2133333333,,,,"PT",,
"Campo de Golfe Oporto GC - Espinho",27299,40.988,-8.6423333333,,,,"PT",,
"Campo Grande, Lisboa",1828,38.757796,-9.15461,,,,"PT",,
"Campo Maior - Barragem do Caia - Área nº 1",1718,"39.0035","-7.1593333333333",,"IBA Albufeira do Caia","PT-12","PT","39.0120223","-7.1515536"
"Campo Pequeno - Lisboa",1660,38.7423333333,-9.1451666667,,,,"PT",,
"Caneiros, Oleiros",27472,40.023737,-7.874708,,,,"PT",,
"Canhão Submarino de Portimão",27536,39.7071666667,-7.8881666667,,,,"PT",,
"Canical",27558,32.7366666667,-16.7378333333,,,,"PT",,
"Canidelo, Vila Nova de Gaia",2109,41.1368333333,-8.6606666667,,,,"PT",,
"Cantelães - Vieira do Minho",27279,41.6451666667,-8.1308333333,,,,"PT",,
"Caramulo - circuito",27459,40.5695,-8.1776666667,,,,"PT",,
"Carcavelos - minha casa",186,38.6846666667,-9.3291666667,,,,"PT",,
"Carrapateiro - Reserva Natural",27350,38.82864,-8.881087,,,,"PT",,
"Carrasqueira, IBA Estuario do Sado",185,38.4136666667,-8.7543333333,,,,"PT",,
"Carvalhais",27518,40.4815,-8.6773333333,,,,"PT",,
"Casa",27379,40.4898333333,-8.687,,,,"PT",,
"Casa Branca",27346,38.4641666667,-8.1595,,,,"PT",,
"Casais da Serra, Serra da Arrábida",27467,38.480604,-9.031277,,,,"PT",,
"Casais do Douro",27276,41.1743333333,-7.5538333333,,,,"PT",,
"Casal da Texuga",27340,39.7071666667,-7.8881666667,,,,"PT",,
"Cascais, Oitavos",27570,38.6997,-9.4677,,,,"PT",,
"Cascais, Paqrque de Palmela",27312,38.704238,-9.413385,,,,"PT",,
"Cascais, Parque da Ribeira dos Mochos",27395,38.698844,-9.430119,,,,"PT",,
"Castelo Branco - arredores da cidade",1673,39.7071666667,-7.8881666667,,,,"PT",,
"Castelo Branco - zona industrial",1674,39.7071666667,-7.8881666667,,,,"PT",,
"Castelo de Marvão",1587,39.3926666667,-7.3738333333,,,,"PT",,
"Castelo de Noudar, Barrancos",1889,"38.178","-7.0631666666667","Portugal (mainland)","Barrancos--Castelo de Noudar","PT-02","PT","38.1777372","-7.0622295"
"Castelo de Vide",241,39.413,-7.4546666667,,,,"PT",,
"Castelo de Vide - Barragem de Póvoa e Meadas - Área nº 1",1732,39.4771666667,-7.5525,,,,"PT",,
"Castelo de Vide - N. S. Graça de Póvoa e Medas",27301,39.511,-7.5195,,,,"PT",,
"Castelo De Vide - N.S. Da Graça da Povoa e Meadas - Área nº 1",1730,39.5118333333,-7.5018333333,,,,"PT",,
"Castelo Rodrigo (perímetro urbano)",2153,40.8765,-6.9641666667,,,,"PT",,
"Castro Marim - Salinas - Área nº 1",1712,37.2288333333,-7.4271666667,,,,"PT",,
"Castro Marim - Salinas - Área nº 2",1711,37.20305,-7.44833,,,,"PT",,
"Castro Marim IBA",19,37.2,-7.4333,,,,"PT",,
"Castro Verde",1754,37.6921666667,-8.0816666667,,,,"PT",,
"Castro Verde",139,37.69520278,-8.080986111,,,,"PT",,
"Castro Verde - Entradas - Área nº 1",1716,37.794,-8.0555,,,,"PT",,
"Castro Verde IBA",20,37.75,-8,,,,"PT",,
"Cativelos, Gouveia",27422,40.546448,-7.702836,,,,"PT",,
"CB01_E",2215,32.6945,-17.1268,,,,"PT",,
"CB01_J",2216,32.6949,-17.1055,,,,"PT",,
"CB01_N",2217,32.6772,-17.0837,,,,"PT",,
"CB01_T",2219,32.6776,-17.0624,,,,"PT",,
"CB01_X",2221,32.6599,-17.0407,,,,"PT",,
"CB01_Z",2223,32.6959,-17.0415,,,,"PT",,
"CB02_A",2224,32.7126,-17.1272,,,,"PT",,
"CB02_H",2230,32.749,-17.1067,,,,"PT",,
"CB02_R",2239,32.7317,-17.0636,,,,"PT",,
"CB02_T",2241,32.7677,-17.0645,,,,"PT",,
"CB02_V",2243,32.714,-17.0419,,,,"PT",,
"CB02_X",2245,32.75,-17.0427,,,,"PT",,
"CB03_A",2162,32.8026666667,-17.1291666667,,,,"PT",,
"CB03_B",2161,32.8207,-17.1298,,,,"PT",,
"CB03_F",2164,32.8031,-17.108,,,,"PT",,
